sessionId,askAnswerId,machineId,configId,audioUrl,question,answer,isInterrupt,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,isMentionedBrandsInKM,quickReplyLevel,quickReplyParentTitle,questionNumber,keyword,machineName
1787491745812,1787491745812-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: promotion,"There are several great promotions available right now.
You can tap the cards below to see more details.",FALSE,en-US,,false,2026-08-23T21:57:02.000+07:00,2026-08-23T21:57:08.496+07:00,Quick Reply,,,,1,quick reply: promotion,1,,TheMall-002-M8-BKP-03
1787488431501,1787488431501-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: promotion,"There are several great promotions available right now.
You can tap the cards below to see more details.",FALSE,en-US,,false,2026-08-23T20:28:43.097+07:00,2026-08-23T20:28:49.507+07:00,Quick Reply,,,,1,quick reply: promotion,1,,TheMall-002-M8-BKP-03
1787487154520,1787487154520-1,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Special Privilege,"""“You’re currently at The Mall Lifestore Bangkapi.
Discover special privileges waiting for you across the mall.
Would you like to see participating stores?”""",TRUE,en-US,,,2026-08-23T19:14:54.447+07:00,2026-08-23T19:14:57.438+07:00,Quick Reply,,,,1,quick reply: Special Privilege,1,,TheMall-005-M8-BKP-02
1787487044158,1787487044158-4,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=c0a7ed17724de5a1076adc566b8cd90d,ขออภัยฉันไม่พบข้อมูลเกี่ยวกับเปิดเสียงถ้าฉันเข้าใจ,"ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับ ""ขออภัยฉันไม่พบข้อมูลเกี่ยวกับเปิดเสียงถ้าฉันเข้าใจ"" ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ",FALSE,th-TH,,true,2026-08-23T19:11:06.222+07:00,2026-08-23T19:11:20.331+07:00,TranscriptionError,,,,,,4,,TheMall-005-M8-BKP-02
1787487044158,1787487044158-3,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=ba59d199284986d1caa3b41596af042d,กูจะไม่รู้เรื่องหรอก,,TRUE,th-TH,,,2026-08-23T19:11:00.077+07:00,2026-08-23T19:11:02.560+07:00,TranscriptionError,,,,,,3,,TheMall-005-M8-BKP-02
1787487044158,1787487044158-2,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=a4bbfb65e7e2342b48b9ef9193972042,เปิดเสียง,"ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับ ""เปิดเสียง"" ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ",TRUE,th-TH,,,2026-08-23T19:10:55.345+07:00,2026-08-23T19:10:58.639+07:00,TranscriptionError,,,,,,2,,TheMall-005-M8-BKP-02
1787487044158,1787487044158-1,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,,Special Privilege,"""ขณะนี้ลูกค้าอยู่ที่เดอะมอลล์ไลฟ์สโตร์ บางกะปิ นะคะ
ค้นพบสิทธิพิเศษที่รอคุณอยู่ทั่วทั้งศูนย์การค้า
คุณต้องการดูร้านค้าที่ร่วมรายการหรือไม่
ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ""",TRUE,th-TH,,,2026-08-23T19:10:46.567+07:00,2026-08-23T19:10:53.038+07:00,Promotions,,,,,,1,,TheMall-005-M8-BKP-02
1787486992590,1787486992590-1,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,,Special Privilege,"""ขณะนี้ลูกค้าอยู่ที่เดอะมอลล์ไลฟ์สโตร์ บางกะปิ นะคะ
ค้นพบสิทธิพิเศษที่รอคุณอยู่ทั่วทั้งศูนย์การค้า
คุณต้องการดูร้านค้าที่ร่วมรายการหรือไม่
ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ""",TRUE,th-TH,,,2026-08-23T19:09:58.279+07:00,2026-08-23T19:10:07.438+07:00,Promotions,,,,,,1,,TheMall-005-M8-BKP-02
1787486933459,1787486933459-1,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=d039f1428eee18072436cc23fd8e6ea7,อ้วน,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับ อ้วน ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ,FALSE,th-TH,,true,2026-08-23T19:08:58.797+07:00,2026-08-23T19:09:08.417+07:00,TranscriptionError,,,,,,1,,TheMall-005-M8-BKP-02
1787486865956,1787486865956-1,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: MCard,MCard มีหลากหลายรูปแบบ สามารถคลิกดูได้ตาม Card ด้านล่าง,FALSE,th-TH,,false,2026-08-23T19:07:50.997+07:00,2026-08-23T19:07:55.792+07:00,Quick Reply,,,,1,quick reply: MCard,1,,TheMall-005-M8-BKP-02
1787486780109,1787486780109-1,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: promotion,"ตอนนี้มีโปรโมชั่นดี ๆ หลายรายการเลยค่ะ
ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ",FALSE,th-TH,,false,2026-08-23T19:06:23.517+07:00,2026-08-23T19:06:30.393+07:00,Quick Reply,,,,1,quick reply: promotion,1,,TheMall-005-M8-BKP-02
1787486485080,1787486485080-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=3ec34456f124127c98d80b84a61ad400,ปังมะอยู่ไหน,"ขออภัยค่ะคุณ ฉันไม่พบข้อมูลเกี่ยวกับร้าน ""ปังมะ"" นะคะ แต่ถ้าคุณกำลังมองหาร้านขนมปังหรือเบเกอรี่ เรามีร้าน Pung Siam อยู่ที่ชั้น Ground Floor ค่ะ หรือจะเป็นร้าน Bake A Wish ก็อยู่ที่ชั้น G เหมือนกันค่ะ",FALSE,th-TH,,true,2026-08-23T19:01:26.336+07:00,2026-08-23T19:01:50.570+07:00,Shop Specific,Bakery,,,,,1,"Pang Ma,bakery,dessert,food",TheMall-002-M8-BKP-03
1787486452309,1787486452309-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=d04bffadae66417320c5a087c780c71a,What is makeup bandana?,"I'm sorry, I couldn't find information about ""makeup bandana."" If I misunderstood your question, please ask again.",FALSE,en-US,,true,2026-08-23T19:00:53.895+07:00,2026-08-23T19:01:04.310+07:00,TranscriptionError,,,,,,1,makeup bandana,TheMall-002-M8-BKP-03
1787485147191,1787485147191-4,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=47b5ac4886558838916b8ab6c262fb98,where is Argentina,"I'm sorry, I couldn't find any information about ""Argentina"" here. If I misunderstood your question, please ask again.",FALSE,en-US,,true,2026-08-23T18:49:27.496+07:00,2026-08-23T18:49:40.011+07:00,Out of Scope,,,,,,4,"Argentina,location",TheMall-002-M8-BKP-03
1787485147191,1787485147191-3,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=51a1c2ada8f5b5404e1b2d41548fd4b4,Please ask for information for US River City.,"I'm sorry, I couldn't find information about ""US River City.""
If I misunderstood your question, please ask again.",TRUE,en-US,,,2026-08-23T18:49:12.896+07:00,2026-08-23T18:49:24.538+07:00,Misc,,US River City,false,,,3,,TheMall-002-M8-BKP-03
1787485147191,1787485147191-2,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=0a7a78a5f8b8efd794dca5bd30db6f18,do you,"Yes, we do! 
M Card members can redeem M Points for free drinks or discounts at many coffee and tea shops here, like **Alto Coffee Roasters**, **D'oro**, **GAGA Attitude In A Cup**, **Inthanin**, **KAMU**, **Ochaya**, **Oh! Juice**, **Olino**, **Rabbit Bubble Milk Tea**, **Taobin**, and **The Alley**.
The promotions are valid until December 31, 2026. Would you like to know more about a specific shop or promotion?",TRUE,en-US,,,2026-08-23T18:48:44.056+07:00,2026-08-23T18:49:10.417+07:00,Promotions,"Coffee, Tea, and Casual Café",,,,,2,,TheMall-002-M8-BKP-03
1787485147191,1787485147191-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.
There are currently coffee and tea drink promotions available within the mall.
Would you like me to recommend participating stores?""",FALSE,en-US,,false,2026-08-23T18:48:29.256+07:00,2026-08-23T18:48:38.091+07:00,Quick Reply,,,,1,quick reply: Coffee or Tea,1,,TheMall-002-M8-BKP-03
1787485357913,1787485357913-2,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=99f9ce9df151e57984a66961dd93f7d2,เที่ยว,ร้าน Thong Smith เป็นร้านก๋วยเตี๋ยวเรือพรีเมียม อยู่ที่ชั้น **G** ค่ะ,FALSE,th-TH,,false,2026-08-23T18:42:53.046+07:00,2026-08-23T18:43:05.944+07:00,Shop Specific,Restaurants,Thong Smith,true,,,2,"Thong Smith,restaurant,dining,food,G floor",TheMall-005-M8-BKP-02
1787485357913,1787485357913-1,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=08fba37923c77e94912d137ad8d6741d,Thong Smith อยู่ชั้นไหนครับ,ร้าน Thong Smith อยู่ที่ชั้น **G** ค่ะ,FALSE,th-TH,,false,2026-08-23T18:42:41.142+07:00,2026-08-23T18:42:49.765+07:00,Map and Navigation,Restaurants,Thong Smith,true,,,1,"Thong Smith,restaurant,floor,location",TheMall-005-M8-BKP-02
1787484992659,1787484992659-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=bee59b9faea8100973313908f8352941,ร้าน BAR B Q PLAZA อยู่ไหน,,TRUE,th-TH,,,2026-08-23T18:36:35.496+07:00,2026-08-23T18:36:41.464+07:00,Map and Navigation,,BAR B Q PLAZA,true,,,1,,TheMall-002-M8-BKP-03
1787483156731,1787483156731-1,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=37d863c5050fda4bb30b3ac15a3e7678,call,I'm here to help! What would you like to know?,FALSE,en-US,,false,2026-08-23T18:05:59.927+07:00,2026-08-23T18:06:10.763+07:00,TranscriptionError,,,,,,1,,TheMall-005-M8-BKP-02
1787481392029,1787481392029-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,why you are so creepy,"Oh, I'm sorry if I came across that way!  I'm just here to help you find what you need at The Mall Bangkapi.  What can I assist you with today?",FALSE,en-US,,true,2026-08-23T17:36:57.592+07:00,2026-08-23T17:37:04.942+07:00,Misc,,,,,,1,,TheMall-002-M8-BKP-03
1787481219329,1787481219329-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,y u r so weird,I'm here to help! What would you like to know?,FALSE,en-US,,false,2026-08-23T17:34:04.175+07:00,2026-08-23T17:34:06.968+07:00,Misc,,,,,,1,,TheMall-002-M8-BKP-03
1787481116230,1787481116230-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.
There are currently coffee and tea drink promotions available within the mall.
Would you like me to recommend participating stores?""",FALSE,en-US,,false,2026-08-23T17:32:50.658+07:00,2026-08-23T17:32:59.229+07:00,Quick Reply,,,,1,quick reply: Coffee or Tea,1,,TheMall-002-M8-BKP-03
1787479212990,1787479212990-3,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,Beard Papa's,"Oh, Beard Papa's!  You can find them on the **Ground Floor** here at The Mall Lifestore Bangkapi.  They're a specialty shop offering freshly baked cream puffs and desserts for takeaway.  Plus, there's a promotion where you can get 2 perks every day, like earning M Points and getting a discount when you redeem points!",FALSE,en-US,,false,2026-08-23T17:31:23.310+07:00,2026-08-23T17:31:39.887+07:00,Shop Specific,Bakery,Beard Papa's,true,,,3,"Beard Papa's,bakery,dessert,cream puffs,food,cafe,restaurant",TheMall-002-M8-BKP-03
1787479212990,1787479212990-2,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,Dairy Queen,"Oh, you're looking for Dairy Queen!  We actually have two locations here at The Mall Lifestore Bangkapi.  There's one on the **M Floor** that's a fast-food restaurant known for its ice cream, Blizzards, and other frozen treats, as well as burgers and hot dogs.  And another one on the **G Floor** that's a take-home shop offering a variety of sweet treats, ice cream, and ice cream cakes.  Which one sounds good to you?",FALSE,en-US,,false,2026-08-23T17:31:00.895+07:00,2026-08-23T17:31:22.217+07:00,Promotions,Ice-cream,Dairy Queen,true,,,2,"Dairy Queen,ice cream,dessert,fast food,coffee,tea,beverage,promotion,The Mall Lifestore Bangkapi",TheMall-002-M8-BKP-03
1787479212990,1787479212990-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.
There are currently coffee and tea drink promotions available within the mall.
Would you like me to recommend participating stores?""",FALSE,en-US,,false,2026-08-23T17:29:35.263+07:00,2026-08-23T17:29:44.121+07:00,Quick Reply,,,,1,quick reply: Coffee or Tea,1,,TheMall-002-M8-BKP-03
1787475311804,1787475311804-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.
There are currently coffee and tea drink promotions available within the mall.
Would you like me to recommend participating stores?""",FALSE,en-US,,false,2026-08-23T16:43:15.060+07:00,2026-08-23T16:43:24.483+07:00,Quick Reply,,,,1,quick reply: Coffee or Tea,1,,TheMall-002-M8-BKP-03
1787475737112,1787475737112-2,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=f124ce605ce1f0ee11a3419b61f37e25,ที่นี่มีร้านมากุโร่ไหม,ขออภัยค่ะคุณลูกค้า ฉันไม่พบร้านมากุโร่นะคะ แต่ถ้าคุณลูกค้ากำลังมองหาร้านอาหารญี่ปุ่น เรามีร้านอื่นๆ ให้เลือกมากมายเลยค่ะ เช่น- **OISHI EATERIUM** อยู่ที่ชั้น 3- **SUSHI SEKI** อยู่ที่ชั้น 3- **SHABUSHI** อยู่ที่ชั้น 3- **SHINKANZEN SUSHI** อยู่ที่ชั้น 3- **YAYOI Japanese Restaurant** อยู่ที่ชั้น 3- **IPPUDO** อยู่ที่ชั้น G Floor- **HACHIBAN RAMEN** อยู่ที่ชั้น 3- **FUJI RESTAURANT** อยู่ที่ชั้น 3คุณลูกค้าสนใจร้านไหนเป็นพิเศษไหมคะ,FALSE,th-TH,,true,2026-08-23T16:02:28.119+07:00,2026-08-23T16:03:00.409+07:00,Shop Specific,Restaurants,Maguro,false,,,2,"Maguro,restaurant,Japanese food",TheMall-005-M8-BKP-02
1787475737112,1787475737112-1,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=ca6b0165b3be9137fb4a2be236dc6f90,ที่นี่มีร้านมาคุย,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับ มาคุย ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ,TRUE,th-TH,,,2026-08-23T16:02:20.796+07:00,2026-08-23T16:02:25.717+07:00,Shop Specific,,Makui,false,,,1,,TheMall-005-M8-BKP-02
1787475655929,1787475655929-2,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=9828ea1920c507adcc9090e7872cb10a,hello can you show me where is the cinema,"The cinema, Bangkapi Cineplex (Major), is on the **3rd floor** of The Mall Lifestore Bangkapi.",FALSE,en-US,,false,2026-08-23T16:01:14.320+07:00,2026-08-23T16:01:24.776+07:00,Attraction,"Cinema, Karaoke, Bowling",Bangkapi Cineplex,true,,,2,"cinema,Bangkapi Cineplex,Major Cineplex,movie theater,entertainment",TheMall-005-M8-BKP-02
1787475655929,1787475655929-1,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=6faa83777866e8f30681fb3e1b86b553,Can you show me where is the cinema?,"The cinema, Bangkapi Cineplex (Major), is on the **3rd floor** of The Mall Lifestore Bangkapi.",FALSE,en-US,,false,2026-08-23T16:00:59.789+07:00,2026-08-23T16:01:09.383+07:00,Attraction,"Cinema, Karaoke, Bowling",,,,,1,"cinema,movie theater,entertainment",TheMall-005-M8-BKP-02
1787474929701,1787474929701-3,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=7a5b29eded9be5fd5d3234281bb543c2,Where's the restaurant?,"We have several restaurants for you! 
On the Ground (G) Floor, you can find **Ket O Cha** and **Ongtong Khaosoi** in the Food Court, and **Minato** in the food hall. 
On the 1st Floor, there's **BEARHOUSE**. 
And on the 3rd Floor, you'll find **COCO ICHIBANYA**, **KOFUKU**, **FUJI RESTAURANT**, **KATEI SHABU**, and **KRUABANGNA**, plus a general Food Court.",TRUE,en-US,,,2026-08-23T15:49:26.255+07:00,2026-08-23T15:49:35.273+07:00,Facilities,Restaurants,,,,,3,,TheMall-002-M8-BKP-03
1787474929701,1787474929701-2,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,hdsnghgsheeggsehrhrsefgey7ygehefegefy,"I'm sorry, I couldn't find information about that.  If I misunderstood your question, please ask again.",FALSE,en-US,,true,2026-08-23T15:49:10.024+07:00,2026-08-23T15:49:17.509+07:00,TranscriptionError,,,,,,2,hdsnghgsheeggsehrhrsefgey7ygehefegefy,TheMall-002-M8-BKP-03
1787474929701,1787474929701-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=114bc7f934ec0b1b79a6c82c0ef0fb67,what do you do in school,"I'm here to help you with anything you need at The Mall Bangkapi! 
What can I assist you with today?",TRUE,en-US,,,2026-08-23T15:48:51.824+07:00,2026-08-23T15:48:56.536+07:00,Out of Scope,,,,,,1,,TheMall-002-M8-BKP-03
