sessionId,askAnswerId,machineId,configId,audioUrl,question,answer,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,isMentionedBrandsInKM,quickReplyLevel,quickReplyParentTitle,questionNumber,keyword,machineName
1780240035162,1780240041969,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=a9fbec13b94920bf0c2dd2d3bf8a4364, where can I find GMC Livewell,"You can find GNC on the Ground (G) floor of The Mall Lifestore Bangkapi. <break/> It offers vitamins, supplements, health foods, skincare, and cosmetics. <break/> The store is located in the building of The Mall Lifestore Bangkapi. <break/> If you want, I can help you with directions or more details! <break/>",en-US,,false,2026-05-31T15:07:20.422455+00:00,2026-05-31T15:07:26.376218+00:00,Shop Specific,Health & Wellness,,,,,1,,TheMall-002-M8-BKP-03
1780240004564,1780240008164,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=5bd078841ccc92e6415d484dab65dbe0, are you gay,"I'm here to help you with information about The Mall Bangkapi and its stores. <break/> If you have any questions about shopping or services, just ask! <break/> I'm happy to assist you. <break/>",en-US,,false,2026-05-31T15:06:46.910065+00:00,2026-05-31T15:06:52.347725+00:00,Out of Scope,,,,,,1,,TheMall-002-M8-BKP-03
1780236538472,1780236544389,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=8751ab367c617b667edb59ba3ccfddbb, สวัสดี,ฉันคือ M-Agent ค่ะ <break/> ยินดีที่ได้ช่วยเหลือคุณ <break/> มีอะไรให้ช่วยไหมคะ? <break/>,th-TH,,false,2026-05-31T14:09:03.653466+00:00,2026-05-31T14:09:09.780470+00:00,Misc,,,,,,1,,TheMall-002-M8-BKP-03
1780235491680,1780236531018,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Directory,You’re now at The Mall Life Store Bangkapi.<break/>Is there any store or brand you’d like to find? I can help you with that!,en-US,,false,2026-05-31T14:08:49.739021+00:00,2026-05-31T14:08:51.481548+00:00,Quick Reply,,,,1,quick reply: Directory,1,,TheMall-002-M8-BKP-03
1780227677063,1780235707559,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: promotion,There are several great promotions available right now.<break/>You can tap the cards below to see more details.,en-US,,false,2026-05-31T13:55:08.473377+00:00,2026-05-31T13:55:08.967556+00:00,Quick Reply,,,,1,quick reply: promotion,1,,TheMall-005-M8-BKP-02
1780228487670,1780235662138,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: MCard,MCard comes in various types. You can click the cards below to explore them.,en-US,,false,2026-05-31T13:54:22.220547+00:00,2026-05-31T13:54:22.823374+00:00,Quick Reply,,,,1,quick reply: MCard,1,,TheMall-001-M8-BKP-01
1780235470908,1780235475263,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Directory,ขณะนี้ลูกค้าอยู่ที่เดอะมอลล์ไลฟ์สโตร์ บางกะปิ นะคะ<break/>อยากหาร้านไหนหรือแบรนด์อะไรเป็นพิเศษไหมคะ เดี๋ยวฉันช่วยดูให้ค่ะ,th-TH,,false,2026-05-31T13:51:13.945659+00:00,2026-05-31T13:51:14.284319+00:00,Quick Reply,,,,1,quick reply: Directory,1,,TheMall-002-M8-BKP-03
1780230814619,1780234043619,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,amor,AMOR is a café and restaurant. <break/> You can find it on the 3rd floor of The Mall Lifestore Bangkapi. <break/> It’s a great spot for dining. <break/> Let me know if you want directions or more info! <break/>,en-US,,false,2026-05-31T13:27:21.857820+00:00,2026-05-31T13:27:27.312531+00:00,TranscriptionError,,,,,,2,,TheMall-002-M8-BKP-03
1780230814619,1780234036970,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Directory,You’re now at The Mall Life Store Bangkapi.<break/>Is there any store or brand you’d like to find? I can help you with that!,en-US,,false,2026-05-31T13:27:15.546224+00:00,2026-05-31T13:27:15.963862+00:00,Quick Reply,,,,1,quick reply: Directory,1,,TheMall-002-M8-BKP-03
1780229756006,1780229772569,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=8b55a0a4dbe8eb4e58a940b2cd7de729, hello,Hello! <break/> How can I help you today? <break/> Feel free to ask me anything about The Mall Bangkapi. <break/>,en-US,,false,2026-05-31T12:16:11.467205+00:00,2026-05-31T12:16:14.565710+00:00,Misc,,,,,,2,,TheMall-002-M8-BKP-03
