sessionId,askAnswerId,machineId,configId,audioUrl,question,answer,isInterrupt,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,isMentionedBrandsInKM,quickReplyLevel,quickReplyParentTitle,questionNumber,keyword,machineName
1788184237819,1788184237819-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Directory,您可以在咨询台询问工作人员，或者使用 M Card App 上的目录进行搜索哦！,FALSE,zh-CN,,false,2026-08-31T20:50:52.689+07:00,2026-08-31T20:51:01.926+07:00,Quick Reply,,,,1,quick reply: Directory,1,"directory,map,information",TheMall-002-M8-BKP-03
1788182177033,1788182177033-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.
There are currently coffee and tea drink promotions available within the mall.
Would you like me to recommend participating stores?""",FALSE,en-US,,false,2026-08-31T20:16:18.871+07:00,2026-08-31T20:16:28.283+07:00,Quick Reply,,,,1,quick reply: Coffee or Tea,1,,TheMall-002-M8-BKP-03
1788180173314,1788180173314-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: MCard,MCard comes in various types. You can click the cards below to explore them.,FALSE,en-US,,false,2026-08-31T20:16:06.044+07:00,2026-08-31T20:16:12.625+07:00,Quick Reply,,,,1,quick reply: MCard,1,,TheMall-002-M8-BKP-03
1788180095992,1788180095992-2,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=0dcba143296b3f64987e79670e6e99f3,ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ,ขออภัยค่ะ ฉันไม่พบข้อมูลเวลาปิดทำการของธนาคารในระบบค่ะ ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ,FALSE,th-TH,,true,2026-08-31T19:42:08.291+07:00,2026-08-31T19:42:33.823+07:00,Facilities,"Bank, Financial and Insurance Institution",,,,,2,"bank,closing time,inquiry,question",TheMall-002-M8-BKP-03
1788180095992,1788180095992-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=dae5713ede6842907c0da5aa69cc8287,สวัสดีค่ะ ธนาคารปิดกี่โมงคะ,ขออภัยค่ะฉันไม่พบข้อมูลเวลาปิดทำการของธนาคารในระบบค่ะถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ,FALSE,th-TH,,true,2026-08-31T19:41:37.053+07:00,2026-08-31T19:42:02.674+07:00,Facilities,"Bank, Financial and Insurance Institution",,,,,1,"bank,closing time,opening hours",TheMall-002-M8-BKP-03
1788150893992,1788150893992-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.
There are currently coffee and tea drink promotions available within the mall.
Would you like me to recommend participating stores?""",FALSE,en-US,,false,2026-08-31T16:26:26.587+07:00,2026-08-31T16:26:36.226+07:00,Quick Reply,,,,1,quick reply: Coffee or Tea,1,,TheMall-002-M8-BKP-03
1788149275935,1788149275935-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: MCard,MCard comes in various types. You can click the cards below to explore them.,FALSE,en-US,,false,2026-08-31T11:08:03.294+07:00,2026-08-31T11:08:08.536+07:00,Quick Reply,,,,1,quick reply: MCard,1,,TheMall-002-M8-BKP-03
1788121989284,1788121989284-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=83df0a64aa2ad3af56a51c572dd119d7,G Wallet อยู่ชั้นไหน,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับ G Wallet ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ,FALSE,th-TH,,true,2026-08-31T03:33:11.741+07:00,2026-08-31T03:33:22.434+07:00,Map and Navigation,,G Wallet,false,,,1,"G Wallet,floor,location",TheMall-002-M8-BKP-03
1788121927196,1788121927196-2,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=3c42312623ee8d265c339af642384628,ที่เขาพูดเมื่อกี้คือคำว่าอะไร,เมื่อสักครู่คุณถามถึง Platinum M Lounge ค่ะ,FALSE,th-TH,,false,2026-08-31T03:32:27.032+07:00,2026-08-31T03:32:48.117+07:00,Facilities,Member Club & Lounge,Platinum M Lounge,true,,,2,"platinum m lounge,platinum,lounge,2nd floor,the mall lifestore bangkapi",TheMall-002-M8-BKP-03
1788121927196,1788121927196-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=f7b78bce5f0589ee39e4853cae7699b5,จุด Platinum อยู่ชั้นไหน,Platinum M Lounge อยู่ที่ชั้น 2 ของ The Mall Lifestore Bangkapi ค่ะ,FALSE,th-TH,,false,2026-08-31T03:32:09.876+07:00,2026-08-31T03:32:19.999+07:00,Facilities,Specific purpose,The Mall Lifestore Bangkapi,false,,,1,"Platinum M Card Privileges,M Card Platinum VIP,Platinum,floor,location",TheMall-002-M8-BKP-03
1788100278865,1788100278865-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Special Privilege,"""“You’re currently at The Mall Lifestore Bangkapi.
Discover special privileges waiting for you across the mall.
Would you like to see participating stores?”""",FALSE,en-US,,false,2026-08-30T21:31:24.087+07:00,2026-08-30T21:31:32.524+07:00,Quick Reply,,,,1,quick reply: Special Privilege,1,,TheMall-002-M8-BKP-03
1788099902155,1788099902155-3,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,噷,很抱歉，我没有找到相关信息。如果我理解错了您的问题，请再问一次。,FALSE,zh-CN,,true,2026-08-30T21:25:36.522+07:00,2026-08-30T21:25:44.096+07:00,TranscriptionError,,,,,,3,噷,TheMall-002-M8-BKP-03
1788099902155,1788099902155-2,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,哦,很抱歉，我没有找到相关信息。如果我理解错了您的问题，请再问一次。,FALSE,zh-CN,,true,2026-08-30T21:25:27.693+07:00,2026-08-30T21:25:35.266+07:00,TranscriptionError,,,,,,2,哦,TheMall-002-M8-BKP-03
1788099902155,1788099902155-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,Coffee or Tea,,TRUE,zh-CN,,,2026-08-30T21:25:16.972+07:00,2026-08-30T21:25:20.588+07:00,Products & Services,"Coffee, Tea, and Casual Café",,,,,1,,TheMall-002-M8-BKP-03
1788098138555,1788098138555-3,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=bfe5a7c770771252844063ece172d14f,เสียให้มันดังๆหน่อยสิ,ฮาร์เบอร์แลนด์อยู่ที่ชั้น **3** ค่ะ,FALSE,th-TH,,false,2026-08-30T20:56:16.567+07:00,2026-08-30T20:56:28.050+07:00,Attraction,Play Land & Themed Attraction,HarborLand,true,,,3,"Harbor Island,HarborLand,attraction,3rd floor",TheMall-002-M8-BKP-03
1788098138555,1788098138555-2,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=35b3adb6fb517c0aad2c605db6aae165,ฮาร์เบอร์แลนด์อยู่ไหน,ฮาร์เบอร์แลนด์อยู่ที่ชั้น **3** ค่ะ,FALSE,th-TH,,false,2026-08-30T20:55:50.891+07:00,2026-08-30T20:56:11.682+07:00,Attraction,Play Land & Themed Attraction,HarborLand,true,,,2,"Harbor Island,HarborLand,entertainment,kids,play area,children's play area,3rd floor",TheMall-002-M8-BKP-03
1788098138555,1788098138555-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=bdeb051ff6b3bff9e8c4b2e860df575b,ฮาร์เบอร์แลนด์อยู่ไหน,ฮาร์เบอร์แลนด์อยู่ที่ชั้น 3 ค่ะ,FALSE,th-TH,,false,2026-08-30T20:55:41.183+07:00,2026-08-30T20:55:47.910+07:00,Attraction,Play Land & Themed Attraction,HarborLand,true,,,1,"HARBORLAND,attraction,entertainment,kids,family,location",TheMall-002-M8-BKP-03
1788097956565,1788097956565-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=6ba3961310573627802388d23635f815,Limelight,"I'm sorry, I couldn't find information about that. If I misunderstood your question, please ask again.",FALSE,en-US,,true,2026-08-30T20:52:38.817+07:00,2026-08-30T20:52:48.963+07:00,Shop Specific,,Limelight,false,,,1,Limelight,TheMall-002-M8-BKP-03
1788090634127,1788090634127-2,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=d2085139c88d4c00d4ecfa0287bfe1ff,Sure.,"Absolutely!  You can redeem M Points for free drinks or discounts at places like **Alto Coffee Roasters**, **D'oro**, **GAGA Attitude In A Cup**, **Inthanin**, **KAMU**, **Ochaya**, **Oh! Juice**, **Olino**, **Rabbit Bubble Milk Tea**, **Taobin**, and **The Alley**. This promotion is valid until December 31, 2026.",FALSE,en-US,,false,2026-08-30T18:53:54.363+07:00,2026-08-30T18:54:22.182+07:00,Promotions,"Coffee, Tea, and Casual Café",,,,,2,"coffee,tea,drink,promotion,participating stores",TheMall-002-M8-BKP-03
1788090634127,1788090634127-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.
There are currently coffee and tea drink promotions available within the mall.
Would you like me to recommend participating stores?""",FALSE,en-US,,false,2026-08-30T18:53:37.320+07:00,2026-08-30T18:53:46.794+07:00,Quick Reply,,,,1,quick reply: Coffee or Tea,1,,TheMall-002-M8-BKP-03
1788090599811,1788090599811-1,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,ปาท่องโก๋,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับ ปาท่องโก๋ ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ,FALSE,th-TH,,true,2026-08-30T18:50:06.008+07:00,2026-08-30T18:50:14.771+07:00,Products & Services,Take home,,,,,1,"Patongko,Chinese doughnut,fried dough,snack,food",TheMall-002-M8-BKP-03
