sessionId,askAnswerId,machineId,configId,audioUrl,question,answer,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,isMentionedBrandsInKM,quickReplyLevel,quickReplyParentTitle,questionNumber,keyword,machineName
1782223932031,1782223939600,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=24e51149b46ec256245a8e2cef508580, อยากไปดูหนังครับ,ที่เดอะมอลล์บางกะปิ คุณสามารถไปดูหนังได้ที่ Bangkapi Cineplex ค่ะ <break/> มีสองสาขา คือ Bangkapi Cineplex ที่ดำเนินการโดย Major Cineplex <break/> และ Bangkapi Cineplex (EGV) <break/> ทั้งสองอยู่ที่ชั้น 3 ของ The Mall Lifestore Bangkapi ค่ะ <break/> สะดวกมากเลยนะคะถ้าคุณชอบดูหนัง <break/>,th-TH,,false,2026-06-23T14:12:20.830564+00:00,2026-06-23T14:12:27.671074+00:00,Attraction,,,,,,2,,TheMall-002-M8-BKP-03
1782223932031,1782223934590,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=514c5573a538c0df93b01add93911fe1, สวัสดีครับ,ฉันคือ M-Agent ค่ะ <break/> ยินดีที่ได้ช่วยเหลือคุณ <break/> มีอะไรให้ช่วยไหมคะ? <break/>,th-TH,,false,2026-06-23T14:12:15.413916+00:00,2026-06-23T14:12:20.875806+00:00,Misc,,,,,,1,,TheMall-002-M8-BKP-03
1782222176543,1782222179735,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.<break/>There are currently coffee and tea drink promotions available within the mall.<break/>Would you like me to recommend participating stores?""",en-US,,false,2026-06-23T13:43:00.190267+00:00,2026-06-23T13:43:00.498954+00:00,Quick Reply,,,,1,quick reply: Coffee or Tea,1,,TheMall-002-M8-BKP-03
1782222122906,1782222153916,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=b1f82c46a8dc1aaf057ab802be3557c8, วันนี้มีโปรโมชั่นอะไรบ้างคะ,"วันนี้มีโปรโมชั่นน่าสนใจหลายรายการค่ะ <break/>
1. โปรโมชั่น Bangkok Bank M VISA Credit Card ที่ Watch Galleria <break/>
- รับส่วนลดเพิ่ม 5% เมื่อซื้อสินค้าจากแบรนด์ที่ร่วมรายการ <break/>
- ต้องใช้บัตรเครดิต Bangkok Bank M VISA และมียอดซื้อขั้นต่ำ 10,000 บาทขึ้นไป <break/>
- โปรโมชั่นถึงวันที่ 30 มิถุนายน 2569 <break/>
- สาขาที่ร่วมรายการ เช่น The Mall บางกะปิ, เอ็มโพเรียม, พารากอน และอื่น ๆ <break/>

2. โปรโมชั่นแลกคะแนน M Points กับร้านอาหาร 10 ร้านดัง <break/>
- แลก 9 คะแนน M Points เพื่อรับส่วนลดสูงสุด 100 บาท <break/>
- ต้องใช้บัตร Bangkok Bank M Visa Debit Card <break/>
- ใช้ได้ถึง 30 มิถุนายน 2569 <break/>

3. โปรโมชั่น M Power Black รับส่วนลดเพิ่ม 10% <break/>
- ใช้ได้กับทุกแผนกในร้านค้าที่ร่วมรายการ เช่น Power Mall, Gourmet Market, Home Fresh Mart <break/>
- จำกัดสิทธิ์ 1 ครั้งต่อเดือน <break/>
- ถึงวันที่ 31 ธันวาคม 2569 <break/>

4. โปรโมชั่น BBL Credit Card รับส่วนลดเพิ่มสูงสุด 15% <break/>
- ใช้ได้ที่ The Mall ทุกสาขา, Emporium, EmQuartier, Paragon และ Power Mall (ยกเว้น Gourmet Market) <break/>
- ต้องมียอดใช้จ่ายขั้นต่ำ 1,000 บาท <break/>
- ถึงวันที่ 31 พฤษภาคม 2570 <break/>

5. โปรโมชั่น M Power Red รับส่วนลดเพิ่ม 5% <break/>
- ใช้ได้กับทุกแผนกในร้านค้าที่ร่วมรายการ <break/>
- จำกัดสิทธิ์ 1 ครั้งต่อเดือน <break/>
- ถึงวันที่ 31 ธันวาคม 2569 <break/>

ถ้าคุณสนใจโปรโมชั่นไหน หรืออยากทราบรายละเอียดเพิ่มเติม แจ้งได้นะคะ <break/>
ยินดีช่วยค่ะ! <break/>",th-TH,,false,2026-06-23T13:42:35.278345+00:00,2026-06-23T13:42:42.939888+00:00,Promotions,,,,,,3,,TheMall-002-M8-BKP-03
1782222122906,1782222137989,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=fb76c602d3e30d6699b922274965c472, ดีค่ะ,ฉันคือ M-Agent ค่ะ <break/> ยินดีที่ได้ช่วยเหลือคุณ <break/> มีอะไรให้ช่วยไหมคะ? <break/>,th-TH,true,false,2026-06-23T13:42:19.083248+00:00,2026-06-23T13:42:23.266277+00:00,Misc,,,,,,2,,TheMall-002-M8-BKP-03
1782222122906,1782222126560,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: promotion,ตอนนี้มีโปรโมชั่นดี ๆ หลายรายการเลยค่ะ<break/>ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ,th-TH,,false,2026-06-23T13:42:06.973741+00:00,2026-06-23T13:42:07.638199+00:00,Quick Reply,,,,1,quick reply: promotion,1,,TheMall-002-M8-BKP-03
1782221832845,1782222119915,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: promotion,There are several great promotions available right now.<break/>You can tap the cards below to see more details.,en-US,,false,2026-06-23T13:42:00.712749+00:00,2026-06-23T13:42:01.052417+00:00,Quick Reply,,,,1,quick reply: promotion,1,,TheMall-002-M8-BKP-03
1782221477158,1782221729067,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: SportsMall Golf Tournament 2026 18th Edition,"The SportsMall Golf Tournament 2026 18th Edition is the most challenging amateur golf tournament of the year. <break/> It runs from May 1, 2026, to November 30, 2026. <break/> You can compete for the Royal Trophy from Her Royal Highness Princess Maha Chakri Sirindhorn. <break/> Discounts on application fees are available up to 1,500 Baht for members of Thai Life Insurance PRIVILEGE, Bangkok Bank Credit Card holders, Golf Plus members, M CARD members, and SCARLET PLATINUM M CARD members. <break/> The general public application fee is 5,900 Baht per round. <break/> Qualifying rounds are held at Alpine Golf & Sport Club, Siam Country Club Bangkok, and The RG City Golf Club. <break/> The final round is in November 2026 at FUJI Golf Course in Japan. <break/> You can apply via Line Official: @sportsmallgolf and show your membership or privilege code for discounts. <break/> Senior applicants must be born no later than 1971 CE. <break/> Would you like details on specific qualifying round dates or discounts? <break/>",en-US,,false,2026-06-23T13:35:29.538987+00:00,2026-06-23T13:35:36.919327+00:00,Quick Reply,,,,2,quick reply: promotion,2,,TheMall-002-M8-BKP-03
1782221477158,1782221723966,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: promotion,There are several great promotions available right now.<break/>You can tap the cards below to see more details.,en-US,,false,2026-06-23T13:35:24.738424+00:00,2026-06-23T13:35:25.164133+00:00,Quick Reply,,,,1,quick reply: promotion,1,,TheMall-002-M8-BKP-03
1782221294467,1782221295989,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Special Privilege,"""“You’re currently at The Mall Lifestore Bangkapi.<break/>Discover special privileges waiting for you across the mall.<break/>Would you like to see participating stores?”""",en-US,,false,2026-06-23T13:28:15.527280+00:00,2026-06-23T13:28:16.004641+00:00,Quick Reply,,,,1,quick reply: Special Privilege,1,,TheMall-005-M8-BKP-02
